,content_id,part,content_questions,mean_content_accuracy,mean_prior_question_had_explanation,mean_prior_question_elapsed_time
126,126,1,14482,0.85761636,0.97624636,20389.154
127,127,1,8478,0.90787923,0.9774711,22597.727
128,128,1,19619,0.9668689,0.20062184,18213.578
129,129,1,9732,0.7687012,0.9762639,23478.893
130,130,1,33521,0.7682945,0.98338354,21748.256
131,131,1,14252,0.8605108,0.9840724,19850.451
132,132,1,8159,0.8899375,0.9784287,22042.566
133,133,1,7128,0.8670034,0.9741863,21484.475
134,134,1,36909,0.42807987,0.98274136,24572.338
135,135,1,10903,0.9228653,0.9810144,20502.527
136,136,1,7522,0.8687849,0.9708854,21568.252
137,137,1,978,0.93353784,0.9662577,18321.355
138,138,1,13040,0.84831285,0.9547546,22773.492
139,139,1,17277,0.80390114,0.98414075,21899.75
140,140,1,10702,0.87385535,0.9774808,21544.578
141,141,1,10243,0.8805038,0.9827199,21287.95
142,142,1,16773,0.7801824,0.9841412,22488.805
143,143,1,8883,0.81729144,0.9800743,22079.307
144,144,1,23238,0.701093,0.9786987,22586.43
145,145,1,8922,0.8261601,0.97904056,23681.258
146,146,1,1747,0.7029193,0.9736692,23152.523
147,147,1,903,0.9601329,0.9800664,18859.201
148,148,1,11731,0.8297673,0.9743415,21475.023
149,149,1,29873,0.58018947,0.9822582,24135.525
150,150,1,8977,0.7905759,0.97281945,23092.684
151,151,1,6636,0.9284207,0.9712176,20179.99
152,152,1,22422,0.8825707,0.31861565,20084.416
153,153,1,16607,0.7437225,0.9795267,22795.797
154,154,1,1160,0.8732759,0.9612069,18416.234
155,155,1,6632,0.89475274,0.97466826,20384.197
156,156,1,22493,0.9318899,0.30987418,20180.936
157,157,1,33138,0.56599677,0.9717545,23685.72
158,158,1,4842,0.9458901,0.97253203,17724.451
159,159,1,26419,0.61391425,0.97123283,23250.72
160,160,1,5258,0.8813237,0.97242296,21347.62
161,161,1,12178,0.9143537,0.9824273,22460.121
162,162,1,7246,0.8686172,0.9732266,22996.678
163,163,1,11246,0.9558065,0.98114884,21555.18
164,164,1,16699,0.73058265,0.9801186,22051.76
165,165,1,27884,0.6512337,0.9829651,23339.13
166,166,1,9609,0.87313974,0.9767926,21164.67
167,167,1,6533,0.9514771,0.9782642,20024.846
168,168,1,10208,0.9268221,0.9808973,18704.709
169,169,1,7840,0.8195153,0.9792092,22606.002
170,170,1,15818,0.726767,0.98008597,20522.012
171,171,1,23392,0.75923395,0.9788389,22676.48
172,172,1,30430,0.4613868,0.5153467,21369.682
173,173,1,18278,0.78564394,0.983368,23545.844
174,174,1,13628,0.8486205,0.9790138,21626.645
175,175,1,195861,0.35996956,0.13872083,24064.717
176,176,1,15411,0.50450975,0.97943026,23542.436
177,177,1,5262,0.9289244,0.9722539,20026.672
178,178,1,5729,0.9474603,0.98114854,19630.854
179,179,1,7193,0.89906853,0.9730293,19856.049
180,180,1,21438,0.6523929,0.98269427,23317.918
181,181,1,9120,0.7576754,0.9263158,21713.328
182,182,1,11760,0.83690476,0.97874147,22366.13
183,183,1,31057,0.73068875,0.51907784,19986.52
184,184,1,17054,0.8088425,0.9756655,20645.969
185,185,1,47047,0.6082216,0.67130744,23678.867
186,186,1,24753,0.69207776,0.98347676,22255.707
187,187,1,32884,0.8791509,0.9836395,21903.008
188,188,1,10124,0.8629,0.97945476,19516.234
189,189,1,41095,0.38525367,0.8544835,24537.27
190,190,1,7337,0.9097724,0.97710234,22133.307
191,191,1,23939,0.75399977,0.9845858,22796.35
192,192,1,7318,0.94342715,0.978546,20615.31
193,193,1,20259,0.87649935,0.982625,22493.1
194,194,1,22464,0.674635,0.9834847,21859.648
195,195,1,15114,0.82446736,0.9804155,23589.725
196,196,2,8680,0.9109447,0.9547235,16467.215
197,197,2,9232,0.75617415,0.94367415,18463.45
198,198,2,8170,0.7894737,0.98470014,19252.826
199,199,2,66866,0.45413214,0.98528403,18266.305
200,200,2,13983,0.73088753,0.9317743,18355.52
201,201,2,5783,0.7869618,0.9806329,19733.76
202,202,2,13369,0.6520308,0.97756004,19524.898
203,203,2,9652,0.82438874,0.9814546,16773.105
204,204,2,34127,0.74213964,0.9845577,17478.459
205,205,2,8509,0.91150546,0.7769421,16862.045
206,206,2,2210,0.37737557,0.9352941,19576.348
207,207,2,7612,0.7972937,0.98081976,18820.54
208,208,2,19409,0.602607,0.9752177,18533.092
209,209,2,14611,0.5432209,0.90021217,18945.604
210,210,2,1891,0.53675306,0.9375992,22575.21
211,211,2,12682,0.86681914,0.9836776,19326.445
212,212,2,12948,0.8008187,0.91195554,17693.707
213,213,2,19650,0.5181171,0.8184224,18300.986
214,214,2,22340,0.81606984,0.79776186,17709.336
215,215,2,18057,0.85374093,0.98604417,19212.531
216,216,2,24242,0.7798449,0.9867173,18403.096
217,217,2,39639,0.6660612,0.49559778,19904.586
218,218,2,17899,0.57343984,0.63299626,19717.748
219,219,2,13794,0.6585472,0.9826011,18904.627
220,220,2,16431,0.6460958,0.9867933,19040.504
221,221,2,6026,0.8484899,0.9819117,19748.46
222,222,2,21024,0.8237253,0.97907156,15650.015
223,223,2,9351,0.74612343,0.969522,19083.352
224,224,2,9766,0.80790496,0.9787016,23405.32
225,225,2,11731,0.72150713,0.9196147,19990.215
226,226,2,9774,0.9300184,0.9846532,15832.511
227,227,2,1054,0.5796964,0.95635676,20733.143
228,228,2,6826,0.82757103,0.9828597,15978.692
229,229,2,11955,0.8183187,0.9856964,16297.94
230,230,2,10221,0.83758926,0.9842481,16631.81
231,231,2,11864,0.7521915,0.98794675,16648.703
232,232,2,12237,0.58004415,0.9814497,18621.12
233,233,2,216,0.8472222,0.9907407,16087.963
234,234,2,16222,0.7217976,0.9848971,22598.178
235,235,2,18866,0.49136013,0.98372734,19260.342
236,236,2,41764,0.66303515,0.97323054,20273.027
237,237,2,14213,0.7797791,0.98642087,17912.984
238,238,2,154,0.8116883,0.97402596,18422.078
239,239,2,18691,0.5133487,0.98143494,20208.535
240,240,2,19684,0.49588498,0.980949,18710.545
241,241,2,10179,0.7809215,0.9833972,19889.152
242,242,2,32492,0.7229164,0.9858119,18546.7
243,243,2,136,0.88235295,0.9705882,15859.259
244,244,2,23863,0.6623224,0.9588484,17564.799
245,245,2,11917,0.7621885,0.9837207,16499.605
246,246,2,6792,0.86969966,0.9824794,17815.992
247,247,2,9234,0.7053281,0.98278105,16822.04
248,248,2,16978,0.82377195,0.9840382,18303.518
249,249,2,14179,0.78439945,0.9850483,20372.955
250,250,2,16653,0.7148862,0.98324627,19571.213
251,251,2,10419,0.8613111,0.9831078,17226.389
252,252,2,8830,0.7073613,0.9826727,18942.246
253,253,2,19651,0.5770699,0.9847845,19321.201
254,254,2,9236,0.6722607,0.9814855,19392.854
255,255,2,19407,0.5868501,0.98619056,20890.484
256,256,2,257,0.8093385,0.98832685,16132.8125
257,257,2,567,0.8042328,0.9488536,17706.713
258,258,2,36278,0.5734605,0.9869618,18064.537
259,259,2,16230,0.6550832,0.98595196,16827.947
260,260,2,17361,0.66534185,0.9856575,19233.258
261,261,2,10432,0.75009584,0.98610044,17094.248
262,262,2,23037,0.7507922,0.98949516,17119.637
263,263,2,10923,0.71921635,0.9877323,16706.53
264,264,2,10769,0.8281177,0.9860711,14721.969
265,265,2,11828,0.8432533,0.9868955,18327.318
266,266,2,11714,0.81936145,0.98736554,17601.318
267,267,2,9163,0.7641602,0.9859216,16310.975
268,268,2,11206,0.82089955,0.9842941,16846.795
269,269,2,13495,0.74938864,0.97932565,16486.617
270,270,2,27085,0.6569319,0.9868562,18172.008
271,271,2,955,0.46387434,0.93926704,20532.494
272,272,2,13960,0.8059456,0.9838109,18428.324
273,273,2,5067,0.7588317,0.9810539,17910.908
274,274,2,11754,0.9144972,0.98315465,16572.504
275,275,2,15055,0.7600797,0.98638326,17005.807
276,276,2,8216,0.72310126,0.98332524,18432.56
277,277,2,28691,0.71586907,0.9843505,17880.848
278,278,2,15275,0.6544026,0.98494273,19171.594
279,279,2,56140,0.515212,0.98523337,18218.627
280,280,2,12759,0.8231053,0.9869112,18042.645
281,281,2,1446,0.4681881,0.94329184,21398.193
282,282,2,18194,0.6519732,0.985105,16892.85
283,283,2,10754,0.8131858,0.98558676,17198.861
284,284,2,24787,0.5495623,0.9864848,20717.59
285,285,2,11519,0.5298203,0.9873253,18348.33
286,286,2,11974,0.88458323,0.94763654,15268.452
287,287,2,9823,0.68115646,0.98534054,16491.162
288,288,2,55822,0.65037084,0.9719645,16072.393
289,289,2,9049,0.8831915,0.93645704,15481.01
290,290,2,31284,0.66925585,0.9876614,15920.147
291,291,2,36724,0.7632611,0.98622155,16755.12
292,292,2,1041,0.84149855,0.9836695,16100.192
293,293,2,15279,0.7629426,0.96570456,17230.24
294,294,2,130917,0.86981064,0.9879848,16187.687
295,295,2,15280,0.68010473,0.977356,17211.504
296,296,2,24359,0.62535405,0.40362903,18397.62
297,297,2,12094,0.85306764,0.96055895,15858.543
298,298,2,12869,0.7389852,0.98678994,16828.605
299,299,2,1092,0.6282051,0.98626375,16562.902
300,300,2,10084,0.83796114,0.9754066,17150.17
301,301,2,713,0.8527349,0.9859747,15149.086
302,302,2,12763,0.5689885,0.9853483,17869.947
303,303,2,6270,0.74976075,0.9448166,16626.562
304,304,2,194,0.757732,0.9845361,17211.34
305,305,2,12733,0.7801775,0.9809157,15987.504
306,306,2,18432,0.7406142,0.8471137,19352.98
307,307,2,25896,0.7185666,0.98903304,16328.233
308,308,2,11950,0.6410042,0.90200835,18861.072
309,309,2,14019,0.49397248,0.9557743,18474.328
310,310,2,241,0.5975104,0.97510374,18208.334
311,311,2,28189,0.65674555,0.9878676,15261.011
312,312,2,7087,0.8893749,0.9843375,15459.548
313,313,2,8598,0.78285646,0.9849965,15512.073
314,314,2,6498,0.9535242,0.98168665,16128.629
315,315,2,8099,0.7387332,0.98394865,16035.06
316,316,2,14775,0.90626055,0.98368865,15339.649
317,317,2,9363,0.9331411,0.9836591,16358.944
318,318,2,5763,0.75689745,0.9823009,19365.377
319,319,2,17456,0.5730408,0.9867094,20411.865
320,320,2,12368,0.9023286,0.9839101,18042.838
321,321,2,10872,0.80997056,0.9853753,18210.318
322,322,2,17042,0.56032157,0.9860345,20967.496
323,323,2,5945,0.93372583,0.98099244,16151.939
324,324,2,21349,0.73450744,0.64059204,17801.139
325,325,2,21253,0.5118336,0.6214652,20626.992
326,326,2,14707,0.75297475,0.9814374,19450.557
327,327,2,11975,0.82580376,0.98505217,18387.99
328,328,2,13337,0.7395966,0.985454,18192.203
329,329,2,23451,0.6443222,0.9864398,20487.994
330,330,2,7611,0.86243594,0.98318225,19437.78
331,331,2,11778,0.65316695,0.98403805,19241.44
332,332,2,14838,0.84755355,0.9842971,19021.799
333,333,2,11677,0.84970456,0.98501325,16454.021
334,334,2,17390,0.7074181,0.9852789,19923.998
335,335,2,44284,0.65109295,0.96337277,18479.379
336,336,2,10681,0.84495836,0.9835221,18474.115
337,337,2,11797,0.8285157,0.9886412,19329.2
338,338,2,14110,0.7700921,0.97746277,19136.604
339,339,2,7959,0.8104033,0.9860535,18239.314
340,340,2,15133,0.7745325,0.9844049,21958.52
341,341,2,23793,0.8344471,0.98512167,18059.162
342,342,2,8156,0.9076753,0.98173124,15859.006
343,343,2,9142,0.8066069,0.98446727,16708.232
344,344,2,6806,0.8560094,0.98369086,17775.45
345,345,2,11586,0.8921975,0.9864492,14186.004
346,346,2,556,0.85071945,0.9928058,15021.583
347,347,2,145,0.7241379,0.99310344,13779.311
348,348,2,8041,0.7939311,0.98047507,18400.852
349,349,2,21212,0.8253819,0.9850556,17695.133
350,350,2,14811,0.74323136,0.9855513,17734.658
351,351,2,534,0.8071161,0.98876405,16615.385
352,352,2,12207,0.7665274,0.98771197,17534.357
353,353,2,1019,0.656526,0.99018645,17427.871
354,354,2,14191,0.78119934,0.98576564,16484.793
355,355,2,26414,0.71287954,0.7174983,17709.412
356,356,2,7098,0.88250214,0.9818259,19729.225
357,357,2,17291,0.91163033,0.5320687,18997.328
358,358,2,10471,0.83191675,0.9835737,17558.195
359,359,2,11859,0.7707227,0.984653,18271.996
360,360,2,14194,0.77349585,0.98435956,19179.855
361,361,2,12549,0.87337637,0.98230934,17855.455
362,362,2,655,0.7572519,0.9862595,16949.074
363,363,2,1232,0.4991883,0.924513,20302.117
364,364,2,495,0.8020202,0.9959596,15748.479
365,365,2,21057,0.53773093,0.9850406,18339.32
366,366,2,8713,0.871686,0.8626191,16254.988
367,367,2,16246,0.76517296,0.74516803,17390.076
368,368,2,19111,0.61697453,0.98629063,20442.926
369,369,2,22868,0.7613259,0.98303306,17707.77
370,370,2,12482,0.84633875,0.9864605,19104.465
371,371,2,23219,0.93871397,0.9208407,15837.506
372,372,2,33383,0.8665189,0.97915107,18028.057
373,373,2,8570,0.8204201,0.9722287,17744.816
374,374,2,13892,0.62035704,0.98776275,17840.217
375,375,2,10140,0.6579882,0.98096645,19951.451
376,376,2,25011,0.6852585,0.38559034,18857.605
377,377,2,12604,0.6455887,0.9860362,20176.588
378,378,2,13622,0.92189103,0.78351194,14895.917
379,379,2,24771,0.6652537,0.8285495,19304.385
380,380,2,7782,0.94333076,0.93305063,16082.84
381,381,2,14831,0.69968307,0.97350144,18959.447
382,382,2,10401,0.82982403,0.9198154,16626.197
383,383,2,17806,0.59979784,0.922835,20520.316
384,384,2,16664,0.9045847,0.98757803,17309.117
385,385,2,16647,0.8229711,0.987265,17946.172
386,386,2,20329,0.5809927,0.9191303,19121.502
387,387,2,13692,0.85305285,0.8772276,18429.947
388,388,2,10857,0.7242332,0.91848576,18895.186
389,389,2,15073,0.7729052,0.9363763,18967.176
390,390,2,13329,0.8470253,0.9587366,18555.572
391,391,2,9391,0.7503993,0.98690236,19875.2
392,392,2,15891,0.7384054,0.95311815,19029.113
393,393,2,13719,0.75552154,0.77921134,19072.477
394,394,2,9670,0.9481903,0.9827301,18243.027
395,395,2,282,0.5851064,0.9751773,18652.482
396,396,2,33707,0.7339425,0.98593765,17090.332
397,397,2,15328,0.9414796,0.9708377,15642.408
398,398,2,15412,0.63126135,0.90857774,16160.71
399,399,2,23612,0.7600796,0.9863629,16226.087
400,400,2,13768,0.85364616,0.9246078,15372.694
401,401,2,14700,0.92312926,0.98346937,17483.934
402,402,2,26939,0.525929,0.9765025,19474.879
403,403,2,27867,0.6083181,0.98349303,17783.314
404,404,2,13999,0.6921923,0.89720696,18078.57
405,405,2,59401,0.5892325,0.97447854,20145.51
406,406,2,484,0.5206612,0.99380165,18743.8
407,407,2,17719,0.62543035,0.9804729,18828.797
408,408,2,7991,0.8583406,0.9837317,15877.226
409,409,2,12544,0.7665019,0.9828603,17710.367
410,410,2,12299,0.82787216,0.9746321,19287.416
411,411,2,10562,0.64750993,0.96818787,20375.273
412,412,2,29845,0.7529904,0.9812364,18630.996
413,413,2,12713,0.61126405,0.9824589,17618.615
414,414,2,21212,0.48604563,0.98670566,18567.055
415,415,2,11778,0.7739854,0.98454744,17824.346
416,416,2,10350,0.84937197,0.98144925,16822.72
417,417,2,7825,0.83054316,0.9858147,20827.502
418,418,2,12489,0.6842822,0.98710865,19417.838
419,419,2,15321,0.7900268,0.985249,19038.65
420,420,2,24641,0.59478104,0.9766649,18255.02
421,421,2,42443,0.55302405,0.98774827,16301.251
422,422,2,25602,0.50121087,0.96422154,17512.973
423,423,2,28506,0.5858416,0.985582,17562.826
424,424,2,17244,0.7251798,0.97720945,19786.434
425,425,2,7351,0.5249626,0.9823153,20276.512
426,426,2,21466,0.61264324,0.98569834,18869.453
427,427,2,13489,0.6172437,0.98443174,21254.842
428,428,2,171,0.79532164,0.9649123,18982.457
429,429,2,11593,0.7110325,0.9846459,19285.578
430,430,2,13105,0.7090424,0.98359406,17788.521
431,431,2,8738,0.8720531,0.9820325,16626.494
432,432,2,4862,0.7873303,0.9784039,21346.266
433,433,2,12032,0.64303523,0.986619,19279.074
434,434,2,28201,0.6510762,0.98801464,18194.156
435,435,2,17993,0.8104263,0.98560554,20543.861
436,436,2,7740,0.8316538,0.98023254,20047.316
437,437,2,20400,0.6142647,0.98509806,19068.01
438,438,2,51717,0.71311176,0.985498,18700.541
439,439,2,17896,0.68803084,0.9865892,18643.51
440,440,2,122,0.8196721,0.97540987,19491.803
441,441,2,23351,0.7391975,0.9870241,18051.252
442,442,2,7738,0.83199793,0.9844921,17754.57
443,443,2,11666,0.87467855,0.9837133,18753.66
444,444,2,9623,0.7031071,0.98503584,17771.22
445,445,2,10255,0.7496831,0.98371524,19633.701
446,446,2,62690,0.57344073,0.985516,17652.988
447,447,2,32772,0.66132677,0.9849872,18926.822
448,448,2,10348,0.94791263,0.98241204,16324.66
449,449,2,180,0.64444447,0.9722222,19988.889
450,450,2,6705,0.90261,0.9831469,15710.054
451,451,2,10680,0.70215356,0.9855805,17722.56
452,452,2,6967,0.93110377,0.9791876,15019.812
453,453,2,5981,0.77712756,0.9822772,17088.334
454,454,2,24463,0.7429996,0.98798186,15839.831
455,455,2,18944,0.67952913,0.98622257,16885.023
456,456,2,13786,0.868925,0.9858552,15139.884
457,457,2,15387,0.83863,0.9858322,16043.404
458,458,2,11734,0.690813,0.98721665,18122.352
459,459,2,884,0.4683258,0.9660633,18339.367
460,460,2,12556,0.86325264,0.9794521,16778.92
461,461,2,14230,0.66654956,0.9867182,17322.365
462,462,2,15027,0.8219871,0.98575896,16231.663
463,463,2,202,0.7425743,0.980198,16519.803
464,464,2,627,0.5869219,0.97288674,20457.734
465,465,2,12579,0.8127832,0.9863264,18586.025
466,466,2,23354,0.8428963,0.9872827,16766.057
467,467,2,10501,0.8107799,0.9838111,16890.77
468,468,2,11587,0.89945626,0.9837749,17573.844
469,469,2,11844,0.90535295,0.98429585,16336.671
470,470,2,9749,0.8617294,0.9837932,16297.697
471,471,2,9270,0.6837109,0.9858684,18383.5
472,472,2,7538,0.7874768,0.98301935,20307.324
473,473,2,6955,0.66038823,0.981596,20752.777
474,474,2,16254,0.5979451,0.9847422,21422.27
475,475,2,11163,0.6420317,0.9869211,17108.758
476,476,2,13051,0.7787143,0.9845989,18535.035
477,477,2,14720,0.66046196,0.9838995,17851.61
478,478,2,7621,0.932686,0.977562,16303.558
479,479,2,6627,0.7209899,0.9868719,19079.656
480,480,2,9174,0.7924569,0.98168737,18386.854
481,481,2,26866,0.94911784,0.69898754,16011.581
482,482,2,25952,0.6001464,0.9879393,16736.41
483,483,2,14375,0.76020867,0.9846261,17181.768
484,484,2,16606,0.7393713,0.98398167,17772.24
485,485,2,10844,0.85402066,0.9874585,15606.975
486,486,2,6871,0.9350895,0.98268086,16630.771
487,487,2,11196,0.7912647,0.9862451,16145.507
488,488,2,17605,0.6828742,0.7801193,19005.303
489,489,2,16089,0.7370253,0.97209275,18574.238
490,490,2,16000,0.792375,0.9873125,17156.854
491,491,2,8609,0.8924382,0.9822279,16919.99
492,492,2,15129,0.76673937,0.9849957,16497.309
493,493,2,13718,0.6142295,0.9658114,18433.014
494,494,2,13071,0.8462245,0.98630553,17810.81
495,495,2,8955,0.7876047,0.9809045,16999.316
496,496,2,16859,0.7542559,0.9846966,18770.764
497,497,2,9432,0.7950594,0.985475,18572.934
498,498,2,16298,0.67560434,0.98570377,16893.492
499,499,2,15216,0.7554548,0.51636434,16595.203
500,500,2,14065,0.47564876,0.98556703,18049.098
501,501,2,19256,0.70050895,0.9897694,19222.646
502,502,2,14602,0.66936034,0.98431724,19922.035
503,503,2,10280,0.7547665,0.98531127,17215.533
504,504,2,6541,0.81684756,0.977985,20238.57
505,505,2,17825,0.6993548,0.98485273,18842.668
506,506,2,32231,0.79256,0.9882722,16930.383
507,507,2,23203,0.6191872,0.9865535,17486.703
508,508,2,6629,0.7859406,0.98054004,17860.152
509,509,2,11602,0.7559903,0.9862093,20180.984
510,510,2,16090,0.6407707,0.9852082,17821.371
511,511,2,10243,0.93498,0.98115784,15897.039
512,512,2,7295,0.7817683,0.9847841,14569.387
513,513,2,6665,0.8748687,0.9827457,16248.157
514,514,2,8073,0.7463149,0.9827821,21432.492
515,515,2,14635,0.88910145,0.98448926,16078.104
516,516,2,816,0.5355392,0.96813726,20329.656
517,517,2,6719,0.90534306,0.9836285,16676.514
518,518,2,15634,0.8364462,0.98368937,18659.852
519,519,2,7212,0.91791457,0.9832224,15186.535
520,520,2,9374,0.8074461,0.98751867,18326.562
521,521,2,7205,0.39750174,0.012491326,17159.494
522,522,2,16118,0.87231666,0.9816975,16931.346
523,523,2,7346,0.94187313,0.97821945,16676.195
524,524,2,11458,0.6661721,0.94938034,19458.986
525,525,2,28375,0.5592599,0.9869251,19039.617
526,526,2,22292,0.65099585,0.9858245,18825.867
527,527,2,9745,0.7462288,0.9859415,17524.389
528,528,2,10678,0.81578946,0.9849223,18835.025
529,529,2,10484,0.69620377,0.9865509,17550.277
530,530,2,12258,0.77957255,0.9781367,19005.809
531,531,2,9935,0.71826875,0.98158026,17814.846
532,532,2,658,0.7082067,0.9650456,18037.994
533,533,2,10436,0.8078766,0.987064,17063.203
534,534,2,786,0.5038168,0.9592875,21589.285
535,535,2,11632,0.9357806,0.9851272,13623.522
536,536,2,12811,0.74443835,0.986496,18225.762
